6.199940;75.726510;-1.391060;6.199940;75.726509;-1.391060;-9.584590;23.093620;-5.508250;-9.490070;198.807327;-0.398100
7.369600;75.443020;-0.866430;7.369600;75.443024;-0.866430;-9.715590;23.828239;-5.390770;-9.190260;206.438477;-0.308050
7.324610;74.919360;-0.896890;7.324610;74.919357;-0.896890;0.522180;30.449940;-6.277890;-9.356920;206.301910;-0.269220
7.574150;75.746480;-0.747060;7.574150;75.746483;-0.747060;0.454320;30.793449;-6.276360;-9.348130;206.538818;-0.266340
7.563770;74.629630;-0.761300;7.563770;74.629631;-0.761300;0.522690;30.701590;-6.258480;-9.331320;206.301285;-0.275640
7.535790;75.882590;-0.767920;7.535790;75.882591;-0.767920;0.658750;30.792629;-6.201970;-9.057660;210.386200;-0.256680
7.432520;75.634990;-0.829070;7.432520;75.634987;-0.829070;0.653690;30.891220;-6.196280;-9.081070;209.569473;-0.268310
8.153110;74.723250;-0.354860;8.153110;74.723251;-0.354860;-0.407240;15.961470;-7.756150;-9.396760;205.831818;-0.269310
8.224100;75.516760;-0.307330;8.224100;75.516762;-0.307330;-0.405460;14.991730;-7.834240;-9.500810;204.851730;-0.264240
8.240950;74.645390;-0.280600;8.240950;74.645393;-0.280600;-0.433580;16.517330;-7.719590;-9.373650;205.245667;-0.287660
8.278930;75.298940;-0.258040;8.278930;75.298943;-0.258040;-0.362330;17.942659;-7.580890;-9.220900;208.164032;-0.263390
8.290370;74.889070;-0.240830;8.290370;74.889069;-0.240830;-0.489130;14.737610;-7.881960;-9.131470;207.348938;-0.303270
8.338650;75.775890;-0.213410;8.338650;75.775887;-0.213410;1.390510;67.286247;-3.257540;-9.165000;206.360397;-0.316050
8.372040;75.346470;-0.174840;8.372040;75.346474;-0.174840;1.425600;68.069443;-3.193600;-9.102120;212.432312;-0.201690
8.380020;75.908230;-0.178250;8.380020;75.908234;-0.178250;1.338070;68.037003;-3.213860;-9.315250;205.231094;-0.302610
8.278780;71.973110;-0.183720;8.278780;71.973106;-0.183720;1.125840;67.208107;-3.317370;-9.157030;209.551407;-0.249670
8.232730;71.665050;-0.225360;8.232730;71.665047;-0.225360;0.737080;68.159882;-3.327950;-9.337240;207.721420;-0.243730
8.133950;67.601930;-0.204460;8.133950;67.601929;-0.204460;1.318090;66.565872;-3.324570;-9.156350;209.196457;-0.257440
7.941310;62.339670;-0.222310;7.941310;62.339668;-0.222310;0.816820;67.797592;-3.337880;-9.243270;208.040192;-0.260440
7.779030;59.046780;-0.290250;7.779030;59.046780;-0.290250;0.855490;67.890289;-3.323250;-9.172430;209.438751;-0.248220
7.834340;59.860210;-0.246040;7.834340;59.860210;-0.246040;1.104200;67.330803;-3.312910;-9.212130;208.580093;-0.256670
7.636860;55.635160;-0.307300;7.636860;55.635159;-0.307300;0.885730;68.056953;-3.304990;-9.209530;210.563492;-0.214820
7.731620;57.510540;-0.267680;7.731620;57.510540;-0.267680;-0.250390;49.032589;-5.038830;-9.193040;209.850128;-0.234240
7.600510;54.272580;-0.262670;7.600510;54.272579;-0.262670;-0.172300;48.109211;-5.094130;-9.018900;211.519791;-0.242100
7.324980;48.197400;-0.278740;7.324980;48.197399;-0.278740;-0.051050;51.443279;-4.800440;-9.180690;211.756332;-0.196490
7.076250;43.180330;-0.310460;7.076250;43.180328;-0.310460;-0.336890;47.952999;-5.144940;-9.447100;206.365067;-0.245270
6.910500;39.942160;-0.323020;6.910500;39.942162;-0.323020;-0.265640;48.091370;-5.117310;-9.202760;205.253494;-0.330310
6.880050;39.388170;-0.360940;6.880050;39.388168;-0.360940;-0.107130;49.721771;-4.950560;-9.186850;205.434235;-0.330420
6.932470;40.366100;-0.320370;6.932470;40.366100;-0.320370;-0.071540;48.349541;-5.051500;-9.183850;208.838455;-0.258230
6.709840;36.093120;-0.352540;6.709840;36.093121;-0.352540;-0.223150;47.617439;-5.145130;-9.097850;212.194733;-0.207850
6.317110;28.606000;-0.359820;6.317110;28.606001;-0.359820;-0.121680;50.705318;-4.875660;-8.984470;210.240921;-0.278130
6.363560;29.480920;-0.410990;6.363560;29.480921;-0.410990;-0.073700;47.667240;-5.106320;-9.055420;211.777985;-0.227410
6.148180;25.371080;-0.335530;6.148180;25.371080;-0.335530;-1.158010;65.872749;-3.822480;-9.107190;209.394485;-0.265520
6.030940;23.084790;-0.368680;6.030940;23.084789;-0.368680;-1.223090;67.295326;-3.714720;-9.317220;207.455078;-0.254450
5.761420;17.841760;-0.142950;5.761420;17.841761;-0.142950;-0.994700;67.428543;-3.673690;-9.100790;209.065674;-0.274170
5.733220;17.280330;-0.099610;5.733220;17.280331;-0.099610;-1.011090;67.567329;-3.664510;-9.215280;207.896378;-0.270540
5.614730;14.867730;0.012470;5.614730;14.867730;0.012470;-0.992500;66.886879;-3.717700;-9.144300;207.997482;-0.286160
5.459030;11.564210;0.262650;5.459030;11.564210;0.262650;-0.846480;67.686607;-3.633030;-9.220430;207.461121;-0.278580
5.469120;11.674150;0.034830;5.469120;11.674150;0.034830;-1.056400;67.671722;-3.661950;-9.057200;210.915894;-0.245440
5.488320;12.185310;0.169540;5.488320;12.185310;0.169540;-0.876780;66.133743;-3.764030;-9.283370;207.426987;-0.263540
5.450860;11.271930;0.075850;5.450860;11.271930;0.075850;-0.933830;67.035973;-3.697770;-9.276620;209.948013;-0.211200
5.439170;11.083560;-0.249080;5.439170;11.083560;-0.249080;-1.344320;67.632317;-3.703150;-9.017120;211.228577;-0.248780
5.449120;11.254730;-0.166630;5.449120;11.254730;-0.166630;-1.037800;67.815208;-3.647760;-9.101730;212.440536;-0.201610
5.513850;12.761930;0.177100;5.513850;12.761930;0.177100;-1.232090;68.126213;-3.647960;-9.173040;208.398300;-0.270370
5.516880;12.717000;-0.071870;5.516880;12.717000;-0.071870;-0.865630;66.244270;-3.753520;-9.605080;210.819305;-0.093130
5.480140;11.907970;-0.002750;5.480140;11.907970;-0.002750;-1.206600;67.965477;-3.657740;-9.749040;208.641983;-0.101790
5.455400;11.360600;-0.044900;5.455400;11.360600;-0.044900;-1.159340;67.369423;-3.700250;-9.486610;212.346375;-0.092270
5.500440;12.498310;-0.443240;5.500440;12.498310;-0.443240;-1.124960;66.097717;-3.799720;-9.649440;206.608734;-0.179450
5.483440;12.130800;-0.426670;5.483440;12.130800;-0.426670;-1.224560;66.357536;-3.791610;-9.414860;212.790543;-0.103100
5.430770;11.086800;-0.450960;5.430770;11.086800;-0.450960;-1.086970;66.595833;-3.753970;-9.555100;210.099915;-0.124990
5.445430;11.388950;-0.458770;5.445430;11.388950;-0.458770;-0.834540;66.129356;-3.758820;-9.298840;211.271759;-0.173480
5.458080;11.768290;-0.563570;5.458080;11.768290;-0.563570;-1.059390;65.825829;-3.813310;-9.446200;207.258118;-0.224530
5.497830;12.591380;-0.586170;5.497830;12.591380;-0.586170;-1.439470;58.647121;-4.464190;-9.582890;205.750519;-0.219520
5.435030;11.391310;-0.630970;5.435030;11.391310;-0.630970;-1.451370;57.371021;-4.572240;-9.349200;211.338593;-0.156940
5.427650;11.542160;-0.815650;5.427650;11.542160;-0.815650;-1.378690;57.423759;-4.557620;-9.644080;209.384384;-0.115450
5.420870;11.413770;-0.821020;5.420870;11.413770;-0.821020;-1.550310;59.210468;-4.432830;-9.693940;210.749069;-0.068380
5.425180;11.398380;-0.774380;5.425180;11.398380;-0.774380;-1.484140;56.640240;-4.637760;-9.425480;209.552628;-0.176460
5.361570;11.200050;-1.234460;5.361570;11.200050;-1.234460;-1.462400;55.603722;-4.721100;-9.523850;205.747742;-0.237140
